id,formattedAddress,addressLine1,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,lotSize,status,price,listingType,listedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,history,bedrooms,bathrooms,squareFootage,yearBuilt,has_hoa
"5505-E-Rockingham-Rd,-Greensboro,-NC-27407","5505 E Rockingham Rd, Greensboro, NC 27407",5505 E Rockingham Rd,Greensboro,NC,37,27407,Guilford,81,36.00432,-79.886638,Single Family,46609.0,Active,535000,Standard,2026-03-09T00:00:00.000Z,2020-10-22T15:17:05.469Z,2026-04-26T09:43:06.080Z,49,TriadMLS,1210649.0,"{'2026-03-09': {'event': 'Sale Listing', 'price': 535000, 'listingType': 'Standard', 'listedDate': '2026-03-09T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 49}}",3.0,3.0,2394.0,1954.0,0
"22-Dutchmans-Pipe-Cv,-Greensboro,-NC-27455","22 Dutchmans Pipe Cv, Greensboro, NC 27455",22 Dutchmans Pipe Cv,Greensboro,NC,37,27455,Guilford,81,36.14814,-79.811135,Townhouse,1307.0,Active,412000,Standard,2026-03-10T00:00:00.000Z,2025-10-21T00:00:00.000Z,2026-04-26T09:43:06.080Z,48,TriadMLS,1211663.0,"{'2025-10-20': {'event': 'Sale Listing', 'price': 409000, 'listingType': 'Standard', 'listedDate': '2025-10-20T00:00:00.000Z', 'removedDate': '2025-12-31T00:00:00.000Z', 'daysOnMarket': 72}, '2026-03-10': {'event': 'Sale Listing', 'price': 412000, 'listingType': 'Standard', 'listedDate': '2026-03-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 48}}",3.0,3.5,2029.0,2000.0,1
"310-Beresford-Way,-Greensboro,-NC-27405","310 Beresford Way, Greensboro, NC 27405",310 Beresford Way,Greensboro,NC,37,27405,Guilford,81,36.185497,-79.682326,Single Family,11326.0,Active,370000,Standard,2026-03-10T00:00:00.000Z,2022-05-10T12:12:13.285Z,2026-04-26T09:43:06.077Z,48,TriadMLS,1211777.0,"{'2026-03-10': {'event': 'Sale Listing', 'price': 370000, 'listingType': 'Standard', 'listedDate': '2026-03-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 48}}",4.0,2.5,2713.0,2022.0,1
"3818-Edgewood-Terrace-Rd,-Greensboro,-NC-27406","3818 Edgewood Terrace Rd, Greensboro, NC 27406",3818 Edgewood Terrace Rd,Greensboro,NC,37,27406,Guilford,81,36.051969,-79.714808,Single Family,40946.0,Active,225000,Standard,2026-03-10T00:00:00.000Z,2026-03-10T00:00:00.000Z,2026-04-26T09:43:06.076Z,48,TriadMLS,1211680.0,"{'2026-03-10': {'event': 'Sale Listing', 'price': 225000, 'listingType': 'Standard', 'listedDate': '2026-03-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 48}}",3.0,1.0,925.0,1961.0,0
"1813-Martin-Luther-King-Jr-Dr,-Greensboro,-NC-27406","1813 Martin Luther King Jr Dr, Greensboro, NC 27406",1813 Martin Luther King Jr Dr,Greensboro,NC,37,27406,Guilford,81,36.050561,-79.778391,Single Family,14810.0,Active,360000,Standard,2026-03-10T00:00:00.000Z,2022-08-14T10:23:36.439Z,2026-04-26T09:43:06.073Z,48,TriadMLS,1211033.0,"{'2025-01-28': {'event': 'Sale Listing', 'price': 360000, 'listingType': 'Standard', 'listedDate': '2025-01-28T00:00:00.000Z', 'removedDate': '2026-01-20T00:00:00.000Z', 'daysOnMarket': 357}, '2026-03-10': {'event': 'Sale Listing', 'price': 360000, 'listingType': 'Standard', 'listedDate': '2026-03-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 48}}",3.0,3.5,2288.0,1898.0,0
"1101-N-Elm-St,-Unit-1404,-Greensboro,-NC-27401","1101 N Elm St, Unit 1404, Greensboro, NC 27401",1101 N Elm St,Greensboro,NC,37,27401,Guilford,81,36.089095,-79.789559,Condo,436.0,Active,139900,Standard,2026-03-10T00:00:00.000Z,2026-03-11T00:00:00.000Z,2026-04-26T09:43:06.069Z,48,TriadMLS,1211547.0,"{'2026-03-10': {'event': 'Sale Listing', 'price': 139900, 'listingType': 'Standard', 'listedDate': '2026-03-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 48}}",2.0,2.0,1088.0,1963.0,1
"4014-Gilmore-Dr,-Greensboro,-NC-27407","4014 Gilmore Dr, Greensboro, NC 27407",4014 Gilmore Dr,Greensboro,NC,37,27407,Guilford,81,36.02549,-79.864571,Single Family,68825.0,Active,267900,Standard,2026-03-10T00:00:00.000Z,2026-03-11T00:00:00.000Z,2026-04-26T09:43:06.068Z,48,DoorifyMLS,10151688.0,"{'2026-03-10': {'event': 'Sale Listing', 'price': 267900, 'listingType': 'Standard', 'listedDate': '2026-03-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 48}}",2.0,1.0,1147.0,1952.0,0
"5719-Hackney-Rd,-Greensboro,-NC-27409","5719 Hackney Rd, Greensboro, NC 27409",5719 Hackney Rd,Greensboro,NC,37,27409,Guilford,81,36.073089,-79.896917,Single Family,53579.0,Active,304000,Standard,2026-03-11T00:00:00.000Z,2026-03-11T00:00:00.000Z,2026-04-26T09:43:06.067Z,47,TriadMLS,1211791.0,"{'2026-03-11': {'event': 'Sale Listing', 'price': 304000, 'listingType': 'Standard', 'listedDate': '2026-03-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 47}}",3.0,2.0,1690.0,1946.0,0
"5530-Drake-Rd,-Greensboro,-NC-27406","5530 Drake Rd, Greensboro, NC 27406",5530 Drake Rd,Greensboro,NC,37,27406,Guilford,81,35.964264,-79.848622,Manufactured,165964.0,Active,219900,Standard,2026-03-11T00:00:00.000Z,2026-03-11T00:00:00.000Z,2026-04-26T09:43:06.066Z,47,TriadMLS,1211718.0,"{'2026-03-11': {'event': 'Sale Listing', 'price': 219900, 'listingType': 'Standard', 'listedDate': '2026-03-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 47}}",2.0,2.0,1323.0,1994.0,0
"4336-Clovelly-Dr,-Greensboro,-NC-27406","4336 Clovelly Dr, Greensboro, NC 27406",4336 Clovelly Dr,Greensboro,NC,37,27406,Guilford,81,36.038431,-79.70125,Single Family,18731.0,Active,399900,Standard,2026-03-11T00:00:00.000Z,2023-04-03T00:00:00.000Z,2026-04-26T09:43:06.065Z,47,TriadMLS,1211891.0,"{'2026-03-11': {'event': 'Sale Listing', 'price': 399900, 'listingType': 'Standard', 'listedDate': '2026-03-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 47}}",4.0,2.5,2680.0,1999.0,1
